country,year,yield_kg_per_ha,production_tonnes,area_harvested_ha
Kenya,2000,1440.0,2160000.0,1500000.0
Kenya,2001,1701.2,2790000.0,1640000.0
Kenya,2002,1512.6,2408596.0,1592315.0
Kenya,2003,1622.4,2710848.0,1670914.0
Kenya,2004,1929.3,2607139.0,1351327.0
Kenya,2005,1640.5,2905559.0,1771123.0
Kenya,2006,1719.7,3247200.0,1888185.0
Kenya,2007,1813.2,2928793.0,1615304.0
Kenya,2008,1392.5,2367237.0,1700000.0
Kenya,2009,1294.3,2439000.0,1884368.0
Kenya,2010,1725.1,3464541.0,2008346.0
Kenya,2011,1584.0,3376862.0,2131887.0
Kenya,2012,1736.6,3749880.0,2159322.0
Kenya,2013,1692.2,3592688.0,2123138.0
Kenya,2014,1660.2,3513171.0,2116141.0
Kenya,2015,1823.0,3825000.0,2098240.0
Kenya,2016,1428.4,3339000.0,2337586.0
Kenya,2017,1527.2,3186000.0,2086178.0
Kenya,2018,1765.6,4013777.44,2273283.0
Kenya,2019,1560.0,3582000.0,2296174.0
Kenya,2020,1774.1,3789000.0,2135741.0
Kenya,2021,1523.8,3304430.0,2168603.0
Kenya,2022,1458.3,3082220.0,2113520.0
Kenya,2023,1763.4,4285206.0,2430014.0
Kenya,2024,1666.2,4023000.0,2414536.0
